,클러스터,시장명,가게명,가게 종류,지역구,가게 주소,가게 위치(위도),가게 위치(경도),주자창 여부,주차장 주소,주차장 위치(위도),주차장 위치(경도),버스정류장,지하철,지금 몇 명 가는지,인스타 검색어,인스타 게시물 수,위도경도,dist_현재위치,dist_추천식당,dist_추천장소,별점
23,2,아리랑 거리,힙컵,카페,중구,부산 중구 중구로30번길 12 1층,35.10047472,129.0289621,무,,,,자갈치역.비프광장,자갈치역 7번 출구,10,힙컵,503,"(35.10047472, 129.0289621)",0.813454988,0.233852497,0.322801207,4
24,2,아리랑 거리,카마타케제면소 본점,식당,중구,부산 중구 비프광장로 31-1,35.08976,129.028635,유,부산 중구 비프광장로 30,35.098655,129.028497,자갈치역.비프광장,자갈치역 7번 출구,10,카마타케제면소 본점,8701,"(35.08976, 129.028635)",1.641734885,1.383760647,1.48867858,3.9
25,2,아리랑 거리,18번완당집,식딩,중구,부산 중구 비프광장로 31,35.098948,129.028466,유,부산 중구 비프광장로 30,35.098655,129.028497,자갈치역.비프광장,자갈치역 7번 출구,20,18번완당집,4067,"(35.098948, 129.028466)",0.918454917,0.400407829,0.471831837,3.6
26,2,아리랑 거리,뉴리틀인디아,식당,중구,부산 중구 비프광장로 33-1,35.098973,129.028898,유,부산 중구 비프광장로 30,35.098655,129.028497,자갈치역.비프광장,자갈치역 7번 출구,30,뉴리틀인디아,217,"(35.098973, 129.028898)",0.882130201,0.38043027,0.478123207,3.6
27,2,아리랑 거리,돌솥밥집,식당,중구,부산광역시 중구 광복로37번길 7-1,35.099986,129.029092,유,부산 중구 중구로 22,35.099763,129.028098,자갈치역.비프광장,자갈치역 7번 출구,40,돌솥밥집,1145,"(35.099986, 129.029092)",0.819923241,0.271900203,0.377324847,4.1
28,2,서면시장,서면시장,시장,부산진구,부산광역시 부산진구 서면로 56,35.155755,129.058206,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,1,서면시장,13000,"(35.155755, 129.058206)",6.201440971,6.473048745,6.485798425,4.2
29,2,서면시장,기장손칼국수,식당,부산진구,부산광역시 부산진구 서면로 56,35.155473,129.058299,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,12,기장손칼국수,8750,"(35.155473, 129.058299)",6.174155072,6.4474615,6.461178925,4.1
30,2,서면시장,뚱보할매집,식당,부산진구,부산 부산진구 서면로 56,35.155418,129.058179,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,11,뚱보할매집,595,"(35.155418, 129.058179)",6.164997914,6.437572099,6.450939899,4.1
31,2,서면시장,풍성돼지국밥,식당,부산진구,부산 부산진구 서면로68번길 41,35.155164,129.058488,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,10,풍성돼지국밥,232,"(35.155164, 129.058488)",6.146768076,6.422620532,6.437747078,3.9
32,2,서면시장,서면개금밀면,식당,부산진구,부산 부산진구 서면로68번길39,35.155255,129.058565,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,12,서면개금밀면,974,"(35.155255, 129.058565)",6.15856101,6.434682342,6.449910115,3.8
33,2,서면시장,만만정,식당,부산진구,부산 부산진구 서면로 56,35.155255,129.058326,유,부산광역시 부산진구 부전동 417-6,35.155552,129.057971,서면역.서면지하상가,서면역,30,만만정,136,"(35.155255, 129.058326)",6.151838909,6.426120435,6.440415673,3.5
